26.78572	64.28572	85.71429
75.00000	71.42857	85.71429
75.00000	78.57143	71.42857
82.14286	85.71429	78.57143
82.14286	64.28572	78.57143
89.28572	71.42857	78.57143
85.71429	71.42857	78.57143
92.85715	85.71429	78.57143
89.28572	64.28572	78.57143
94.64286	78.57143	78.57143
92.85715	85.71429	85.71429
92.85715	85.71429	85.71429
91.07143	100.00001	92.85715
94.64286	85.71429	92.85715
96.42857	100.00001	92.85715
94.64286	92.85715	92.85715
85.71429	78.57143	92.85715
94.64286	100.00001	92.85715
94.64286	100.00001	100.00001
94.64286	92.85715	100.00001
94.64286	92.85715	100.00001
94.64286	92.85715	100.00001
96.42857	85.71429	100.00001
94.64286	92.85715	100.00001
92.85715	92.85715	100.00001
94.64286	100.00001	85.71429
98.21429	100.00001	92.85715
91.07143	92.85715	92.85715
96.42857	100.00001	92.85715
98.21429	100.00001	92.85715
94.64286	100.00001	92.85715
98.21429	100.00001	100.00001
96.42857	100.00001	92.85715
98.21429	100.00001	85.71429
98.21429	85.71429	85.71429
96.42857	100.00001	92.85715
98.21429	92.85715	92.85715
94.64286	100.00001	85.71429
